team_name,AdjO,AdjD,SOS AdjO,SOS Adj D,eFG%,TOV%,ORB%,FTR,Hgt,%2P,%3P,%FT,Tempo,Blk%,Stl%,Def %FT,Def %2P,Def %3P,NST%,A%,3PA%,HomeAdvantage
Connecticut,122.3,103.7,112.7,102.3,55.4,17,35.5,39.9,78.2,48.3,33.5,18.2,70,9.1,8.6,23.2,48.3,28.6,8.4,64.8,42.7,5.36
North Carolina,119.8,101.4,113.5,102.4,54.8,15.3,29.7,29.9,76.4,52.2,28.7,19.1,62.7,10.3,8.5,18.4,49.5,32.1,6.7,50.9,36.6,5.36
UC San Diego,115.5,97.7,106.3,108.4,55.5,13.3,25.7,30.2,77.6,41.8,39.8,18.4,64.5,9.8,6.7,18.8,44.2,37,6.6,56.4,49.4,5.36
Arkansas,112,94.3,115.3,101.6,52.5,16.5,27.1,29.3,78.6,52.7,27.9,19.4,72.5,6.9,9.4,18.1,50.2,31.8,7.1,52.8,36.5,5.36
New Mexico,113.5,95.9,109.7,103.2,51.3,15.8,31.3,35.4,78.5,53.7,25.8,20.4,72.7,9.6,9.5,19.1,48.9,31.9,6.3,51.7,32.5,5.36
Oklahoma,119.1,101.8,114.5,100.6,55.1,17.8,27.3,36,77.2,45.2,32.5,22.2,69.8,10.6,10.5,20.6,50,29.5,7.3,52.3,41.8,5.36
Xavier,115.4,98.2,111.6,102.1,53.7,16.1,25.1,28.7,77.3,46.8,31.6,21.6,69,11.8,8.3,17.1,53.2,29.7,7.8,63.6,37.4,5.36
Vanderbilt,119.2,102.2,114,101.4,52.1,14.6,32.3,37.2,76.5,49.8,30.9,19.4,67.7,11.3,8.1,20.1,48.3,31.5,6.5,50.5,40.2,5.36
Texas,116.7,99.8,114.2,101,53,14.6,29.8,37.1,78,50.6,29.5,19.9,67.5,7.8,8.3,21.1,49.4,29.5,6.3,48.5,36,5.36
Indiana,115,98.6,114.9,101.7,51.9,16.8,31.3,29.7,78.9,55.9,25.7,18.4,0,8.3,9.6,17.8,51,31.2,7.2,57.6,33.5,5.36
Northwestern,114.9,98.5,113.8,102.2,50.2,14.4,31.4,35.7,78.3,53.4,28.3,18.3,70,8.7,7.9,20.9,47.8,31.2,6.6,55.2,34,5.36
San Diego St.,110.4,94.1,111.7,103,50.4,16.9,30.3,36.9,78.2,51.3,31,17.6,68.4,8.5,9,22.1,41.1,36.8,7.9,49.9,38.9,5.36
Memphis,114.1,98.1,112,105.3,54.3,19.3,34,32.9,76.4,50.8,29,20.2,66,9.4,10.7,19.3,48.3,32.4,8.6,51.8,33.9,5.36
SMU,118.6,102.6,110.7,105.1,55.1,17,37.6,31.9,78.2,51,29.7,19.3,71.1,10.1,9.1,19.9,45.7,34.4,7.9,55.4,35.3,5.36
Nebraska,114.3,98.3,114.3,101.6,52,16.5,26.8,27,78.3,50.5,29,20.5,67.7,8.9,8.4,15.9,44.9,39.2,8,52.3,38.4,5.36
Boise St.,116.8,100.8,109.4,104,52.6,16.7,33.1,31,78,48.3,29,22.7,67.4,10.1,7.9,17.8,52.2,30,8.7,56.4,41.7,5.36
Colorado St.,116.4,100.5,109.4,104.1,55.6,17.5,26.8,33.3,77.1,48.2,34.1,17.6,66.2,8.2,9,18.8,49.9,31.4,8.4,62.9,42.9,5.36
West Virginia,110.3,94.4,113.7,99.7,50.1,15.8,25.2,32,77.3,46.4,37.9,15.7,67.6,9.1,8.1,20.4,51.8,27.8,7.7,56.3,46,5.36
Cincinnati,111.5,95.8,113,101.6,51.4,15.1,32.4,24,78.6,55.5,31.2,13.3,69.1,8.3,8.6,16.1,55,29,6.6,50.5,37.8,5.36
Santa Clara,116.8,101.6,110.3,105.3,55.7,16.9,32.6,32.4,78.4,44.3,39.8,15.9,68.9,10.9,8.5,19.2,50.9,30,8.4,58.6,46.5,5.36
Villanova,119.9,104.8,110.9,102.9,55.3,15.5,30.3,30.5,77.3,44,39.4,16.6,68.4,8.3,8.1,17.2,43.4,39.3,7.4,49.6,43.8,5.36
Utah St.,120.9,106.2,109.6,103.6,56.2,15.9,33.8,33.8,77.3,48.6,32.2,19.2,68.9,9.7,10.1,19.1,45.8,35.1,5.8,61.8,41.3,5.36
Pittsburgh,116.5,102.9,113.1,103.4,52.4,14.8,28.6,32.8,78.5,46.8,32.7,20.4,69.5,7.9,8,18.8,46.3,34.8,6.8,50.8,41.2,5.36
McNeese,114.7,101.2,105.7,107.5,53.2,16.5,35.7,32.1,77,51.4,29.9,18.7,66.2,8.9,9.6,19.2,42.3,38.5,6.9,50.2,36.7,5.36
USC,117.1,103.7,113.5,102,54.7,17.2,27.4,35.7,78.4,52.4,27.8,19.8,66.4,9.3,9.7,20.7,50.4,29,7.4,57.2,34.3,5.36
Drake,113.7,100.3,107.6,108.1,54.2,18.7,36.4,36.8,77.3,50.1,28.2,21.6,70.1,7.6,8.4,20.4,51.2,28.4,10.2,54.5,36.8,5.36
Kansas St.,111,98.1,112.4,99.9,51.1,17.6,29.8,28.5,77.3,50.8,33.6,15.6,71.3,10.3,9.8,17.6,54.2,28.2,7.8,59.5,40.3,5.36
North Texas,110.7,98.3,109.1,107.8,52.6,17.5,32.8,38.1,77.2,47.6,31.3,21.1,68.3,9,10,23.5,48.7,27.9,7.4,45.5,37.9,5.36
San Francisco,112.2,99.8,109.7,106.5,53.2,16.8,28.6,35.4,77.5,46.7,34,19.3,69.4,7.8,9.4,20.4,55.1,24.5,7.5,52.2,44.1,5.36
UC Irvine,106.5,94.1,107.3,106.9,51.2,18.4,28.3,22.2,77,49.8,27.9,22.2,68.2,6.9,9.3,15.2,51.1,33.7,9.1,60.9,35,5.36
Penn St.,114.5,102.1,112.2,103.4,53.7,17.4,29,29.6,78.1,52.1,26.8,21.2,70.4,8.8,10.5,16.9,50.9,32.1,7,57.4,36.2,5.36
Arizona St.,113.7,101.4,114.9,99.3,52.1,17.8,25.4,31.5,78.2,43.7,36.4,19.9,65.5,11.3,10.9,19.1,49.5,31.4,6.9,51.8,43.2,5.36
Liberty,109.8,98.3,106.5,106.1,57.1,15.6,18.7,25.4,75.7,44.5,40,15.6,71.8,8.8,9.1,17.2,57.8,25,6.5,60.4,47.3,5.36
Utah,113.5,102.1,111.9,101.9,52.4,18,34,32.6,79.5,47.5,33.8,18.6,67.5,13.5,10.5,19.2,47.1,33.7,7.5,67.2,43.7,5.36
